Time,Altitude,Velocity,Mass,Thrust,Phase
335.5,59991.712257812585,-279.88304610294654,24500.0,0,Re-entry
336.0,59851.766188495356,-279.892138634455,24500.0,0,Re-entry
336.5,59711.8157319678,-279.9009130551195,24500.0,0,Re-entry
337.0,59571.861041725526,-279.9093804845514,24500.0,0,Re-entry
337.5,59431.90226589835,-279.91755165434853,24500.0,0,Re-entry
338.0,59291.939547437556,-279.92543692158824,24500.0,0,Re-entry
338.5,59151.973024296625,-279.9330462818544,24500.0,0,Re-entry
339.0,59012.00282960572,-279.94038938181444,24500.0,0,Re-entry
339.5,58872.02909184004,-279.9474755313618,24500.0,0,Re-entry
340.0,58732.05193498237,-279.9543137153379,24500.0,0,Re-entry
340.5,58592.07147867995,-279.9609126048488,24500.0,0,Re-entry
341.0,58452.087838395855,-279.96728056819006,24500.0,0,Re-entry
341.5,58312.10112555516,-279.97342568139334,24500.0,0,Re-entry
342.0,58172.11144768595,-279.97935573840743,24500.0,0,Re-entry
342.5,58032.11890855549,-279.98507826092657,24500.0,0,Re-entry
343.0,57892.12360830155,-279.990600507878,24500.0,0,Re-entry
343.5,57752.12564355926,-279.99592948458036,24500.0,0,Re-entry
344.0,57612.125107583466,-280.0010719515845,24500.0,0,Re-entry
344.5,57472.122090366865,-280.0060344332072,24500.0,0,Re-entry
345.0,57332.116678753984,-280.01082322576906,24500.0,0,Re-entry
345.5,57192.10895655121,-280.01544440554574,24500.0,0,Re-entry
346.0,57052.09900463299,-280.0199038364435,24500.0,0,Re-entry
346.5,56912.086901044284,-280.02420717740785,24500.0,0,Re-entry
347.0,56772.072721099496,-280.02835988957435,24500.0,0,Re-entry
347.5,56632.05653747791,-280.03236724317156,24500.0,0,Re-entry
348.0,56492.03842031582,-280.03623432418317,24500.0,0,Re-entry
348.5,56352.018437295425,-280.0399660407789,24500.0,0,Re-entry
349.0,56211.99665373066,-280.04356712952136,24500.0,0,Re-entry
349.5,56071.97313264998,-280.0470421613572,24500.0,0,Re-entry
350.0,55938.07038385588,-267.8054975882157,24497.5,600000,Landing Burn
350.5,55810.07968083327,-255.9814060452201,24495.0,600000,Landing Burn
351.0,55687.80829701598,-244.5427676345706,24492.5,600000,Landing Burn
351.5,55571.078095636505,-233.46040275894998,24490.0,600000,Landing Burn
352.0,55459.72428118994,-222.70762889313463,24487.5,600000,Landing Burn
352.5,55353.594291214016,-212.2599799518471,24485.0,600000,Landing Burn
353.0,55252.546810335094,-202.0949617578396,24482.5,600000,Landing Burn
353.5,55156.450891225315,-192.19183821956324,24480.0,600000,Landing Burn
354.0,55065.1851693628,-182.5314437250364,24477.5,600000,Landing Burn
354.5,54978.63716036762,-173.09601799034516,24475.0,600000,Landing Burn
355.0,54896.70263026722,-163.869060200813,24472.5,600000,Landing Burn
355.5,54819.28503037908,-154.83519977627554,24470.0,600000,Landing Burn
356.0,54746.2949896293,-145.98008149956146,24467.5,600000,Landing Burn
356.5,54677.64985808659,-137.29026308541987,24465.0,600000,Landing Burn
357.0,54613.273296312276,-128.75312354862606,24462.5,600000,Landing Burn
357.5,54553.094905829705,-120.35678096514005,24460.0,600000,Landing Burn
358.0,54497.04989662108,-112.09001841724266,24457.5,600000,Landing Burn
358.5,54445.07878808148,-103.94221707919438,24455.0,600000,Landing Burn
359.0,54397.12714031171,-95.90329553953534,24452.5,600000,Landing Burn
359.5,54353.14531302469,-87.96365457405145,24450.0,600000,Landing Burn
360.0,54313.088249683075,-80.11412668323456,24447.5,600000,Landing Burn
360.5,54276.91528478673,-72.34592979268255,24445.0,600000,Landing Burn
361.0,54244.58997249338,-64.65062458670891,24442.5,600000,Landing Burn
361.5,54216.079934990164,-57.02007500642723,24440.0,600000,Landing Burn
362.0,54191.356729242485,-49.446411495362895,24437.5,600000,Landing Burn
362.5,54170.39573093271,-41.92199661955897,24435.0,600000,Landing Burn
363.0,54153.176034569566,-34.439392726286066,24432.5,600000,Landing Burn
363.5,54139.680368901194,-26.991331336748036,24430.0,600000,Landing Burn
364.0,54129.89502690402,-19.570683994342215,24427.5,600000,Landing Burn
364.5,54123.80980974817,-12.1704343116993,24425.0,600000,Landing Burn
365.0,54121.417984259475,-4.783650977390914,24422.5,600000,Landing Burn
365.5,54122.71625351085,2.5965385027465118,24420.0,600000,Landing Burn
366.0,54127.70431752664,9.976128031568155,24417.5,600000,Landing Burn
366.5,54136.37989598302,17.351156912756583,24415.0,600000,Landing Burn
367.0,54148.7372975568,24.714803147570805,24412.5,600000,Landing Burn
367.5,54164.76743578366,32.06027645371963,24410.0,600000,Landing Burn
368.0,54184.45785744649,39.38084332566228,24407.5,600000,Landing Burn
368.5,54207.7927833023,46.66985171162078,24405.0,600000,Landing Burn
369.0,54234.75316085994,53.92075511527724,24402.5,600000,Landing Burn
369.5,54265.31672882854,61.12713593719881,24400.0,600000,Landing Burn
370.0,54299.45809276881,68.28272788053083,24397.5,600000,Landing Burn
370.5,54337.14881139743,75.38143725724268,24395.0,600000,Landing Burn
371.0,54378.35749291992,82.41736304497401,24392.5,600000,Landing Burn
371.5,54423.04990069994,89.384815560049,24390.0,600000,Landing Burn
372.0,54471.18906751454,96.27833362920838,24387.5,600000,Landing Burn
372.5,54522.73541759491,103.09270016073779,24385.0,600000,Landing Burn
373.0,54577.64689561222,109.82295603461625,24382.5,600000,Landing Burn
373.5,54635.879101737584,116.46441225073325,24380.0,600000,Landing Burn
374.0,54697.38543188448,123.01266029379553,24377.5,600000,Landing Burn
374.5,54762.117222230954,129.46358069294013,24375.0,600000,Landing Burn
